Category: All categories

Country,Charlie Chaplin: (2016),Ryan Reynolds: (2016)
Canada,20,100
United States,18,85
Ireland,23,84
Switzerland,80,28
United Kingdom,21,79
Australia,18,78
New Zealand,0,69
Hungary,0,65
Philippines,23,63
Morocco,63,0
Uruguay,59,0
Tunisia,58,0
Pakistan,57,16
Croatia,0,55
Denmark,23,52
Norway,0,51
Colombia,51,26
Singapore,0,51
Iran,49,0
Bangladesh,48,0
Kazakhstan,47,0
Mexico,33,47
South Africa,18,45
France,43,33
Iraq,43,0
India,42,15
Brazil,42,19
Chile,38,40
Peru,40,24
Sweden,29,40
Argentina,38,31
United Arab Emirates,37,34
Ecuador,37,31
Portugal,37,36
Bulgaria,36,0
Malaysia,14,36
Austria,25,36
Serbia,30,34
Romania,26,33
Spain,29,32
Belgium,25,31
Italy,30,24
Greece,28,30
Netherlands,17,29
Czech Republic,0,29
Algeria,28,0
Finland,24,28
Germany,18,27
Hong Kong,0,26
Poland,13,24
Venezuela,20,24
Turkey,22,13
Russia,22,3
Egypt,21,13
Israel,19,0
Ukraine,18,0
Saudi Arabia,17,0
Japan,16,0
Indonesia,11,16
Taiwan,0,12
Vietnam,10,7
Thailand,0,9
