Category: All categories

Country,Charlie Chaplin: (2014),Bradley Cooper: (2014)
Morocco,100,0
Uruguay,98,0
Brazil,85,18
France,77,53
Colombia,75,25
Iran,74,0
Ecuador,68,0
Bulgaria,64,0
United States,27,63
Switzerland,63,38
Argentina,62,35
Canada,33,62
Ireland,34,59
United Kingdom,35,58
Chile,57,29
Norway,57,0
Portugal,54,29
India,52,17
Mexico,52,32
Iraq,51,0
Pakistan,50,0
Australia,28,49
Peru,48,21
Spain,47,35
Italy,46,42
Belgium,46,33
Bolivia,44,0
Philippines,27,44
United Arab Emirates,43,0
Austria,41,38
Hungary,28,40
Sweden,38,40
Finland,40,0
Denmark,39,35
Romania,37,20
Singapore,0,37
Greece,37,25
Turkey,35,16
Germany,33,26
Venezuela,31,23
Russia,28,0
South Africa,24,26
Poland,16,25
Egypt,24,0
Ukraine,24,0
Malaysia,22,23
Netherlands,22,22
Japan,19,0
Saudi Arabia,19,0
Vietnam,17,0
Indonesia,14,10
