Category: All categories

Country,Charlie Chaplin: (2014),Scarlett Johansson: (2014)
Puerto Rico,0,100
Philippines,14,99
Mexico,24,93
Singapore,0,84
Costa Rica,0,83
El Salvador,0,83
Canada,15,80
Australia,12,79
United States,12,78
Guatemala,0,76
Chile,24,74
Hong Kong,0,73
France,36,73
Malaysia,10,72
United Kingdom,15,70
Spain,21,70
New Zealand,0,69
Ireland,16,65
Denmark,17,62
Sweden,17,62
Portugal,27,58
Norway,23,56
Hungary,13,56
Peru,21,54
Ecuador,28,54
Switzerland,33,54
Italy,22,53
Argentina,27,53
Belgium,18,50
Uruguay,0,50
Croatia,0,49
United Arab Emirates,18,48
Austria,22,48
Morocco,48,26
Colombia,31,48
Greece,17,48
Pakistan,24,47
Egypt,11,47
Germany,15,45
Czech Republic,0,45
Dominican Republic,0,44
Tunisia,0,43
Slovenia,0,41
Jordan,0,41
Brazil,40,38
Finland,19,40
Netherlands,10,39
Turkey,16,36
India,23,36
Venezuela,15,36
South Africa,11,35
Bangladesh,0,35
Slovakia,0,34
Iran,34,23
Algeria,0,33
Bolivia,21,33
Poland,7,33
South Korea,0,32
Bulgaria,29,32
Israel,0,31
Indonesia,7,29
Romania,18,29
Serbia,0,26
Iraq,23,0
Taiwan,0,23
Saudi Arabia,8,22
Thailand,0,17
Vietnam,7,13
Russia,13,5
Ukraine,12,5
Japan,9,2
