Category: All categories

Country,Charlie Chaplin: (1/1/14 - 3/31/15),Liam Neeson: (1/1/14 - 3/31/15)
Ireland,29,100
Morocco,93,30
United Kingdom,29,85
Philippines,26,84
Tunisia,78,0
Brazil,76,12
Hungary,25,73
France,71,39
New Zealand,0,66
Iran,65,0
Colombia,65,19
Australia,24,63
Canada,30,63
United States,26,63
Singapore,0,62
Switzerland,62,39
Bulgaria,57,0
Portugal,56,33
Iraq,55,0
Romania,35,55
United Arab Emirates,36,55
Ecuador,54,0
Argentina,52,38
Sweden,34,49
Pakistan,49,27
Norway,48,47
Chile,47,42
Mexico,47,30
India,46,13
Italy,45,24
Denmark,34,44
Austria,42,44
Spain,43,32
Croatia,39,41
Kazakhstan,41,0
Peru,41,38
Greece,36,41
Bolivia,40,0
Germany,30,40
Belgium,39,35
Serbia,36,33
Algeria,35,0
Finland,33,26
Turkey,31,11
South Africa,21,30
Czech Republic,30,0
Malaysia,19,30
Venezuela,30,19
Netherlands,20,29
Poland,15,27
Russia,26,0
Egypt,24,17
Israel,24,0
Ukraine,22,0
Japan,19,0
Saudi Arabia,18,17
Vietnam,16,0
Indonesia,13,15
Thailand,6,7
