Category: All categories

Country,Charlie Chaplin: (2014),Brad Pitt: (2014)
Paraguay,0,100
Georgia,0,90
Uruguay,0,75
Canada,16,69
Argentina,28,68
Philippines,14,66
Italy,22,64
Chile,26,64
Hungary,14,63
Norway,24,63
Australia,13,63
United States,13,61
Spain,22,61
Portugal,28,59
Ireland,16,59
Dominican Republic,0,59
France,38,59
Sweden,18,58
Costa Rica,0,58
Croatia,0,57
United Kingdom,16,53
Tunisia,0,53
Mexico,25,52
Singapore,0,51
Slovenia,0,51
Morocco,50,35
Denmark,17,50
New Zealand,0,49
Switzerland,34,49
Turkey,16,47
Greece,18,47
Romania,19,47
Guatemala,0,46
Belgium,19,45
Serbia,0,45
Austria,23,42
Ecuador,29,42
United Arab Emirates,19,42
Colombia,33,42
Peru,22,42
Brazil,42,32
South Africa,12,41
Czech Republic,0,41
Venezuela,16,39
Bulgaria,31,36
Netherlands,10,36
Iran,35,20
Germany,16,34
Slovakia,0,32
Pakistan,25,32
Malaysia,11,32
Hong Kong,0,32
Algeria,0,32
Poland,7,31
Finland,19,29
Bolivia,22,28
Nigeria,0,25
India,24,23
Iraq,24,0
Israel,0,20
Indonesia,7,18
Egypt,11,16
Russia,13,3
Ukraine,12,0
Saudi Arabia,8,12
South Korea,0,12
Vietnam,8,11
Japan,9,2
Thailand,0,7
