Category: All categories

Country,Charlie Chaplin: (11/1/14 - 3/31/15),Bradley Cooper: (11/1/14 - 3/31/15)
Morocco,100,0
United States,22,99
Canada,30,77
Brazil,65,20
France,65,52
Italy,40,65
Australia,21,64
United Kingdom,27,63
Ireland,0,62
Iran,61,0
Portugal,58,0
Colombia,55,36
Switzerland,55,50
Philippines,0,50
Pakistan,50,0
Argentina,40,47
Austria,0,47
India,44,18
Spain,39,43
Sweden,35,43
Chile,42,43
Mexico,41,38
Romania,35,0
Turkey,30,13
Poland,16,29
Germany,25,29
Netherlands,21,25
Russia,24,0
Ukraine,21,0
Japan,18,0
Indonesia,12,12
