Category: All categories

Country,Charlie Chaplin: (2014),Johnny Depp: (2014)
Armenia,0,100
Georgia,0,90
Italy,20,76
Puerto Rico,0,61
Belarus,0,61
Sweden,16,58
Kazakhstan,0,56
Australia,12,56
Canada,14,55
Austria,18,55
Costa Rica,0,54
Norway,24,54
Greece,16,53
United Kingdom,15,52
Chile,24,51
Bulgaria,28,51
Ukraine,10,51
Switzerland,27,51
Hungary,12,50
New Zealand,0,50
United States,11,50
Bosnia & Herzegovina,0,50
Russia,12,50
Uruguay,42,48
Germany,14,47
Portugal,23,45
Mexico,22,45
Slovenia,0,45
France,33,44
Philippines,12,44
Denmark,17,44
Ireland,15,44
Croatia,0,44
Morocco,43,26
Serbia,0,43
Finland,17,42
Argentina,27,40
Czech Republic,0,39
Dominican Republic,0,39
Belgium,20,38
Spain,20,38
Lithuania,0,37
Brazil,37,35
Pakistan,22,37
Romania,16,36
Ecuador,29,36
Poland,7,36
Colombia,32,34
Netherlands,9,34
Singapore,0,34
United Arab Emirates,19,32
Iran,32,30
Turkey,15,32
Slovakia,0,31
South Africa,10,30
Peru,21,27
Egypt,10,27
Malaysia,10,26
Hong Kong,0,25
Bolivia,19,25
Saudi Arabia,8,24
Venezuela,13,24
Algeria,0,23
India,22,21
Iraq,22,0
Japan,8,20
Israel,0,20
Taiwan,0,16
Indonesia,6,14
Thailand,0,8
Vietnam,7,7
