Category: All categories

Country,Charlie Chaplin: (2014),Angelina Jolie Pitt: (2014)
Morocco,100,0
Uruguay,98,0
Brazil,85,15
France,77,22
Colombia,75,21
Iran,74,0
Ecuador,68,0
Bulgaria,64,0
Switzerland,63,0
Argentina,62,31
Chile,57,23
Norway,57,0
Portugal,54,25
India,52,8
Mexico,52,25
Iraq,51,0
Pakistan,50,0
Peru,48,21
Philippines,27,47
Spain,47,24
Italy,46,23
Belgium,46,0
Bolivia,44,0
United Arab Emirates,43,0
Austria,41,0
Finland,40,0
Denmark,39,0
Sweden,38,0
Romania,37,0
Greece,37,0
Singapore,0,35
Turkey,35,14
United Kingdom,35,16
Ireland,34,0
Germany,33,9
Canada,33,26
Venezuela,31,21
Australia,28,21
Hungary,28,0
Russia,28,0
United States,27,19
Egypt,24,0
South Africa,24,24
Ukraine,24,0
Malaysia,22,22
Netherlands,22,11
Japan,19,0
Saudi Arabia,19,0
Vietnam,17,0
Poland,16,8
Indonesia,14,11
