Category: All categories

Country,Charlie Chaplin: (2015),Kate Winslet: (2015)
Bangladesh,0,100
Morocco,88,0
Pakistan,73,79
Iran,75,19
Tunisia,73,0
Colombia,69,12
Brazil,66,11
Ecuador,57,0
Iraq,56,0
France,54,25
Switzerland,53,25
Chile,51,20
Bulgaria,51,0
India,47,50
Argentina,48,16
Portugal,46,0
Ireland,28,46
Peru,46,0
United Kingdom,29,43
New Zealand,0,43
Denmark,42,28
United Arab Emirates,41,36
Mexico,41,18
Kazakhstan,41,0
Italy,39,26
Norway,39,0
Australia,25,39
Austria,38,22
Philippines,29,37
Spain,37,19
Greece,36,23
Bolivia,36,0
Romania,35,20
Sweden,35,28
Algeria,34,0
Belgium,34,26
Malaysia,17,32
Russia,30,0
Turkey,30,19
Czech Republic,30,0
Indonesia,13,30
Egypt,29,26
Finland,29,0
Canada,28,27
Venezuela,27,0
Germany,27,20
United States,24,25
Hungary,25,25
Israel,24,0
Ukraine,24,0
South Africa,22,0
Netherlands,22,19
Japan,20,0
Saudi Arabia,20,0
Poland,16,16
Vietnam,14,0
