Category: All categories

Country,Charlie Chaplin: (1/1/13 - 12/31/15),Christian Bale: (1/1/13 - 12/31/15)
Armenia,100,0
Morocco,91,14
Georgia,87,0
Uruguay,80,0
Brazil,77,14
Iran,68,10
Tunisia,66,0
Colombia,65,17
Lebanon,64,0
France,60,25
Ecuador,56,17
Pakistan,53,28
Switzerland,53,25
Bulgaria,52,17
Argentina,52,23
Chile,52,31
Iraq,50,0
Portugal,50,32
India,47,24
Ireland,32,47
Costa Rica,46,29
Sweden,34,46
United Kingdom,30,46
Sri Lanka,45,0
Norway,40,45
United States,25,43
Puerto Rico,43,41
Mexico,43,28
Canada,29,43
Azerbaijan,43,0
Denmark,35,43
Italy,42,29
Peru,42,16
Croatia,35,41
Australia,25,40
Bolivia,40,16
Dominican Republic,39,29
Hungary,25,38
Spain,38,36
Kazakhstan,38,0
Austria,38,36
United Arab Emirates,37,27
Bangladesh,36,25
Serbia,36,34
Romania,36,19
Guatemala,35,0
Bosnia & Herzegovina,34,0
Belgium,34,21
Singapore,22,34
Finland,34,25
Kenya,33,0
New Zealand,22,33
Greece,32,23
Algeria,31,0
Turkey,30,18
Belarus,30,0
Czech Republic,28,19
Philippines,28,24
Venezuela,28,16
Russia,27,2
Slovenia,27,0
Germany,27,26
Israel,24,11
Slovakia,24,18
Ukraine,24,0
Egypt,22,15
Hong Kong,15,21
South Africa,21,21
Poland,15,20
Netherlands,19,18
Japan,18,1
Malaysia,18,18
Vietnam,17,3
Saudi Arabia,16,7
Indonesia,13,9
South Korea,0,7
Thailand,6,5
Taiwan,5,5
