Category: All categories

Country,Charlie Chaplin: (5/1/15 - 7/31/16),Ryan Reynolds: (5/1/15 - 7/31/16)
Canada,25,100
United States,21,82
Ireland,26,81
Australia,22,80
Uruguay,78,0
Morocco,76,0
Pakistan,74,14
United Kingdom,26,71
Hungary,20,64
New Zealand,24,64
Iran,64,0
Switzerland,63,32
Philippines,29,62
Costa Rica,0,59
Colombia,59,25
Tunisia,59,0
Brazil,58,21
Norway,34,56
Singapore,0,54
Denmark,34,54
Ecuador,53,29
Iraq,51,0
Mexico,38,50
France,50,33
Bangladesh,49,0
Chile,47,43
India,47,13
Bulgaria,47,0
South Africa,20,46
Argentina,46,32
Peru,44,25
Croatia,0,42
Sweden,34,41
United Arab Emirates,41,35
Portugal,40,37
Italy,38,25
Kazakhstan,37,0
Austria,31,35
Malaysia,16,33
Greece,33,27
Serbia,32,33
Spain,33,33
Romania,32,29
Belgium,32,32
Czech Republic,24,32
Germany,23,29
Netherlands,19,29
Algeria,29,0
Finland,27,29
Hong Kong,0,28
Egypt,27,12
Russia,26,4
Turkey,26,13
Venezuela,25,25
Poland,14,23
Ukraine,23,0
Israel,21,17
Saudi Arabia,19,0
Japan,18,0
Indonesia,13,16
Vietnam,13,7
Taiwan,0,11
Thailand,6,9
