Category: All categories

Country,Charlie Chaplin: (1/1/14 - 10/31/14),Robin Williams: (1/1/14 - 10/31/14)
United States,4,100
Canada,5,94
Australia,4,75
Puerto Rico,0,71
New Zealand,0,62
Panama,0,62
Ireland,5,57
United Kingdom,5,55
Uruguay,0,53
Italy,7,51
Costa Rica,0,51
Dominican Republic,0,50
Venezuela,5,49
South Africa,0,49
Mexico,7,49
Guatemala,0,48
Philippines,4,44
Colombia,11,41
Chile,8,38
Singapore,0,38
Austria,6,36
Argentina,9,36
Ecuador,9,35
Portugal,8,33
Denmark,5,33
Sweden,5,31
Spain,7,31
Germany,5,30
Hungary,0,29
Switzerland,9,29
Norway,6,28
France,11,27
Bolivia,6,27
Peru,7,27
Greece,5,26
Belgium,6,26
Croatia,0,25
United Arab Emirates,0,23
Romania,6,22
Netherlands,3,22
Malaysia,3,21
Finland,0,21
Hong Kong,0,20
Poland,2,18
Serbia,0,18
Bulgaria,9,16
Brazil,12,16
Czech Republic,0,15
Morocco,14,14
Turkey,5,13
Israel,0,12
Iran,10,0
Pakistan,7,10
Indonesia,2,10
Egypt,0,9
India,7,8
Saudi Arabia,0,6
Thailand,0,5
Russia,4,0
Ukraine,4,0
Japan,3,1
Vietnam,2,0
