Category: All categories

Country,Charlie Chaplin: (2014),Kevin Spacey: (2014)
Morocco,100,0
Uruguay,98,0
Brazil,85,8
France,77,21
Colombia,75,0
Iran,74,0
Ecuador,68,0
Bulgaria,64,0
Switzerland,63,0
Argentina,62,17
Chile,57,0
Norway,57,37
Portugal,54,0
Canada,33,53
India,52,9
Ireland,34,52
Mexico,52,14
United States,27,52
Iraq,51,0
Pakistan,50,0
Peru,48,0
Spain,47,18
Italy,46,28
Belgium,46,22
Bolivia,44,0
United Arab Emirates,43,0
Austria,41,25
Finland,40,0
Denmark,39,29
Sweden,38,33
Romania,37,0
Australia,28,37
Greece,37,0
United Kingdom,35,37
Turkey,35,7
Germany,33,20
Venezuela,31,0
Hungary,28,25
Russia,28,0
Philippines,27,0
Egypt,24,0
South Africa,24,0
Ukraine,24,0
Poland,16,23
Netherlands,22,22
Malaysia,22,0
Japan,19,0
Saudi Arabia,19,0
Vietnam,17,0
Indonesia,14,0
