Category: All categories

Country,Charlie Chaplin: (3/1/13 - 3/31/14),Leonardo DiCaprio: (3/1/13 - 3/31/14)
Georgia,0,100
Ireland,14,71
Hungary,12,69
Australia,12,67
Canada,14,62
Norway,15,61
United Kingdom,14,59
United States,12,58
Sweden,16,56
New Zealand,0,54
Dominican Republic,0,46
Denmark,15,45
Morocco,45,27
Singapore,0,43
Philippines,16,43
Austria,17,42
Switzerland,24,37
Slovenia,0,37
Brazil,36,15
Germany,13,35
Spain,18,35
Tunisia,0,35
Chile,25,35
Romania,15,35
Belgium,16,34
United Arab Emirates,18,34
Portugal,26,34
Croatia,0,32
Mexico,21,32
France,28,31
Czech Republic,0,30
Colombia,30,26
Iran,30,0
Netherlands,9,30
Bulgaria,21,28
Serbia,18,28
South Africa,0,28
Pakistan,19,28
Greece,17,27
Finland,14,27
Hong Kong,0,27
Argentina,26,26
Ecuador,25,26
Slovakia,0,23
Iraq,21,0
Venezuela,13,21
Turkey,14,21
Peru,20,21
Malaysia,7,20
India,19,20
Italy,19,7
Poland,8,19
Algeria,0,18
Israel,13,16
Egypt,10,15
Indonesia,6,13
Russia,13,3
Ukraine,11,0
Vietnam,9,5
Saudi Arabia,7,9
Japan,8,0
Thailand,3,5
