Category: All categories

Country,Charlie Chaplin: (2013),George Clooney: (2013)
Morocco,100,0
Brazil,85,18
Austria,35,72
Switzerland,52,71
Colombia,71,25
Ireland,38,69
Australia,26,69
Iran,67,38
New Zealand,0,66
Canada,32,65
Ecuador,62,0
Germany,26,62
United States,27,61
Chile,60,26
France,58,53
Italy,43,58
Argentina,57,39
Denmark,31,56
Spain,36,54
Portugal,53,44
Norway,0,53
Sweden,36,53
United Kingdom,31,53
Hungary,29,50
Bulgaria,49,0
Mexico,46,28
India,45,18
Peru,44,0
Greece,32,44
Belgium,32,43
Netherlands,20,42
Singapore,0,39
Pakistan,39,0
South Africa,0,35
Romania,34,27
Finland,28,33
Philippines,33,23
Russia,32,26
Venezuela,32,25
Turkey,31,16
Israel,29,0
Ukraine,25,26
Poland,19,25
Saudi Arabia,0,25
Egypt,23,0
Vietnam,21,0
Japan,18,12
Malaysia,17,0
Indonesia,15,8
