Category: All categories

Country,Charlie Chaplin: (1/1/13 - 12/31/15),Benedict Cumberbatch: (1/1/13 - 12/31/15)
Armenia,100,0
United Kingdom,30,98
Morocco,91,0
Georgia,87,0
Uruguay,80,0
Brazil,77,10
Ireland,32,72
Iran,68,8
Tunisia,66,0
Colombia,65,7
Lebanon,64,0
New Zealand,22,63
Canada,29,61
France,60,18
Singapore,22,59
United States,25,57
Ecuador,56,0
Australia,25,55
Pakistan,53,14
Switzerland,53,24
Bulgaria,52,16
Argentina,52,16
Chile,52,17
Iraq,50,0
Portugal,50,20
India,47,16
Costa Rica,46,0
Sri Lanka,45,0
Hong Kong,15,45
Norway,40,44
Puerto Rico,43,0
Mexico,43,14
Azerbaijan,43,0
Italy,42,16
Peru,42,8
Czech Republic,28,41
Philippines,28,40
Hungary,25,40
Bolivia,40,0
Dominican Republic,39,0
Finland,34,38
Spain,38,19
Kazakhstan,38,0
Austria,38,32
United Arab Emirates,37,22
Bangladesh,36,0
Sweden,34,36
Serbia,36,21
Romania,36,15
Germany,27,35
Croatia,35,29
Guatemala,35,0
Denmark,35,33
Bosnia & Herzegovina,34,0
Belgium,34,24
Kenya,33,0
Greece,32,22
Algeria,31,0
Turkey,30,13
Belarus,30,0
Venezuela,28,6
Russia,27,5
Slovenia,27,0
Netherlands,19,25
Malaysia,18,24
Slovakia,24,24
Israel,24,13
Ukraine,24,4
Egypt,22,0
Taiwan,5,21
South Africa,21,18
Poland,15,20
South Korea,0,20
Japan,18,2
Vietnam,17,4
Saudi Arabia,16,0
Indonesia,13,13
Thailand,6,8
