Category: All categories

Country,Charlie Chaplin: (2013),Gerard Butler: (2013)
Morocco,100,0
Romania,34,97
Brazil,85,15
United Kingdom,31,78
Colombia,71,13
Ireland,38,69
Iran,67,0
Ecuador,62,0
Chile,60,0
France,58,16
Argentina,57,19
Portugal,53,0
Switzerland,52,39
Greece,32,49
Bulgaria,49,41
Canada,32,48
Hungary,29,48
Mexico,46,22
India,45,12
Austria,35,45
United States,27,45
Peru,44,0
New Zealand,0,43
Italy,43,33
Germany,26,42
South Africa,0,42
Ukraine,25,40
Australia,26,39
Pakistan,39,0
Norway,0,37
Spain,36,29
Sweden,36,34
Russia,32,34
Philippines,33,33
Belgium,32,22
Venezuela,32,0
Turkey,31,19
Denmark,31,30
Israel,29,0
Finland,28,0
Netherlands,20,25
Egypt,23,0
Vietnam,21,0
Poland,19,18
Japan,18,5
Malaysia,17,16
Indonesia,15,9
