Category: All categories

Country,Charlie Chaplin: (2014),Emma Stone: (2014)
Philippines,10,100
Singapore,0,66
Canada,12,47
Australia,10,44
United States,10,43
New Zealand,0,43
Malaysia,8,42
Morocco,36,0
United Kingdom,13,35
Ireland,12,34
Brazil,32,13
Mexico,19,31
France,29,17
Colombia,28,11
Hong Kong,0,27
Iran,26,9
Switzerland,26,18
Bulgaria,25,0
Indonesia,6,25
Sweden,13,24
Norway,19,24
Ecuador,24,16
Austria,17,24
Pakistan,19,23
Chile,22,20
Portugal,21,22
Argentina,22,18
United Arab Emirates,17,21
Hungary,10,20
Iraq,20,0
Germany,12,19
Denmark,14,19
South Africa,9,19
Italy,17,19
India,19,15
Croatia,0,18
Greece,13,18
Peru,17,17
Spain,17,14
South Korea,0,16
Bolivia,16,16
Belgium,16,15
Finland,16,15
Romania,15,10
Venezuela,13,15
Taiwan,0,14
Czech Republic,0,14
Netherlands,7,14
Turkey,13,12
Israel,11,13
Poland,6,12
Egypt,8,11
Russia,10,2
Ukraine,9,0
Thailand,0,9
Japan,7,1
Saudi Arabia,7,7
Vietnam,6,6
