Category: All categories

Country,Charlie Chaplin: (2016),Henry Cavill: (2016)
Switzerland,100,0
Uruguay,83,0
Morocco,81,0
Tunisia,72,0
Pakistan,70,17
Bangladesh,68,0
Iraq,63,0
Iran,62,0
Colombia,62,20
Kazakhstan,60,0
France,57,20
India,56,11
Brazil,52,25
Philippines,29,49
Peru,48,0
Ecuador,48,0
Bulgaria,47,0
Chile,46,24
Argentina,46,20
United Arab Emirates,44,0
Ireland,31,44
Portugal,43,0
United Kingdom,27,41
Mexico,41,37
Italy,40,15
Serbia,40,0
Sweden,39,17
Spain,37,23
Australia,24,37
Greece,35,0
Canada,26,35
Algeria,34,0
United States,22,34
Belgium,34,0
Romania,34,0
Finland,33,0
Singapore,0,33
New Zealand,0,32
Austria,30,0
Denmark,30,0
Venezuela,27,0
Russia,27,0
Turkey,27,14
Malaysia,18,26
Egypt,26,0
South Africa,22,25
Israel,24,0
Hungary,24,24
Germany,24,12
Netherlands,22,14
Ukraine,22,0
Japan,20,0
Saudi Arabia,20,0
Poland,17,8
Indonesia,13,14
Vietnam,12,0
