Category: All categories

Country,Charlie Chaplin: (2014),Liam Neeson: (2014)
Morocco,100,0
Ireland,33,95
United Kingdom,32,83
Brazil,83,11
Philippines,29,79
France,76,32
Iran,70,0
Switzerland,68,37
Hungary,27,66
Colombia,65,18
Bulgaria,61,0
Australia,25,59
Canada,32,59
New Zealand,0,58
Singapore,0,58
United States,26,58
Ecuador,57,0
Argentina,56,37
Portugal,55,29
United Arab Emirates,38,52
Chile,51,38
Pakistan,50,27
Romania,38,49
Mexico,49,27
India,49,12
Iraq,48,0
Norway,48,41
Austria,45,41
Sweden,35,45
Italy,45,21
Bolivia,44,0
Spain,44,29
Denmark,34,44
Peru,43,33
Finland,38,0
Belgium,38,34
Germany,32,38
Greece,35,38
Turkey,33,10
Venezuela,32,18
Malaysia,22,29
South Africa,23,29
Netherlands,20,27
Russia,26,0
Ukraine,24,0
Poland,14,24
Egypt,23,0
Japan,19,0
Saudi Arabia,17,15
Vietnam,16,0
Indonesia,14,12
