Category: All categories

Country,Charlie Chaplin: (2013),Tom Cruise: (2013)
Ireland,23,100
Philippines,22,85
Pakistan,26,83
Bangladesh,0,81
United States,17,78
Canada,20,75
Sweden,21,74
Australia,17,74
Kazakhstan,0,70
Chile,36,69
United Kingdom,19,69
New Zealand,0,68
United Arab Emirates,26,67
Morocco,64,44
Hungary,16,62
Norway,0,62
Bulgaria,29,62
Singapore,0,60
Tunisia,0,60
Denmark,20,59
Dominican Republic,0,58
Belarus,0,58
Ukraine,15,56
Jordan,0,56
Iraq,0,55
Egypt,0,55
Russia,20,53
Brazil,52,33
Portugal,35,52
India,27,52
Austria,21,51
Argentina,36,51
South Africa,0,50
Italy,25,49
Spain,22,49
Serbia,26,49
Algeria,0,48
Saudi Arabia,0,46
Mexico,29,46
Switzerland,32,44
Israel,18,44
Colombia,42,32
France,36,42
Romania,20,42
Belgium,19,41
Iran,40,40
Finland,20,40
Croatia,0,40
Czech Republic,0,39
Hong Kong,0,39
Germany,16,39
Greece,23,38
Ecuador,34,38
Netherlands,13,37
Taiwan,0,37
Malaysia,10,36
Turkey,19,36
Indonesia,9,34
Poland,11,34
Slovakia,0,32
Venezuela,19,31
Peru,27,29
Japan,11,29
Thailand,0,21
Vietnam,13,21
China,0,18
South Korea,0,17
