Category: All categories

Country,Charlie Chaplin: (2014),James Franco: (2014)
United States,21,100
Canada,26,99
Australia,21,85
New Zealand,0,82
Morocco,81,0
Ireland,26,80
United Kingdom,26,72
Brazil,67,31
France,62,34
Philippines,23,60
Iran,57,0
Switzerland,56,34
Colombia,53,21
Norway,39,50
Bulgaria,50,0
Ecuador,47,0
Sweden,29,46
Argentina,46,35
Portugal,45,41
Singapore,0,44
Croatia,0,42
Chile,41,39
Mexico,40,41
Pakistan,41,0
India,40,8
Iraq,39,0
Austria,37,34
Italy,36,35
Bolivia,36,0
Spain,36,28
Denmark,28,36
Peru,35,20
South Africa,19,34
Finland,31,26
United Arab Emirates,31,31
Belgium,31,28
Romania,31,16
Hungary,22,30
Greece,29,28
Germany,26,27
Turkey,27,14
Venezuela,26,25
Netherlands,17,25
Malaysia,18,24
Russia,21,0
Ukraine,20,0
Egypt,18,0
Japan,15,0
Poland,11,15
Saudi Arabia,14,0
Vietnam,13,0
Taiwan,0,12
Indonesia,11,12
