Category: All categories

Country,Charlie Chaplin: (2014),Channing Tatum: (2014)
Philippines,20,100
Norway,33,97
United Kingdom,22,96
Ireland,22,90
Australia,17,88
Sweden,24,80
Canada,22,80
New Zealand,0,79
United States,18,78
Denmark,24,69
Morocco,68,0
Austria,31,61
Brazil,56,19
Switzerland,47,56
Germany,22,53
France,52,22
Iran,48,0
Netherlands,14,46
Hungary,18,45
Colombia,44,15
Singapore,0,44
South Africa,16,44
Finland,26,43
Bulgaria,42,0
Ecuador,39,0
Czech Republic,0,39
Argentina,39,27
Portugal,38,31
Croatia,0,37
Slovakia,0,36
Chile,35,35
Belgium,26,35
Pakistan,34,20
United Arab Emirates,26,34
Mexico,33,29
India,33,12
Iraq,33,0
Spain,30,32
Italy,31,21
Bolivia,30,0
Peru,29,16
Romania,26,20
Malaysia,15,25
Greece,24,24
Venezuela,22,23
Poland,10,23
Turkey,22,7
Israel,0,18
Russia,18,0
Indonesia,9,18
Ukraine,17,0
Egypt,15,0
Japan,13,0
Saudi Arabia,11,0
Vietnam,11,5
Thailand,0,6
