Category: All categories

Country,Charlie Chaplin: (2013),Morgan Freeman: (2013)
Morocco,100,0
Brazil,86,16
United States,27,77
Ireland,39,69
Colombia,68,25
Iran,66,0
Canada,32,66
Australia,26,64
Norway,0,64
Sweden,32,60
New Zealand,0,60
Argentina,58,28
France,58,28
Ecuador,57,0
Chile,56,29
United Kingdom,31,56
Denmark,32,56
Portugal,54,37
Switzerland,52,33
Peru,50,21
Netherlands,21,50
Hungary,28,47
Mexico,44,25
India,44,13
Singapore,0,44
Pakistan,43,0
Italy,43,32
Serbia,42,0
Spain,35,41
Bulgaria,41,0
South Africa,0,39
Austria,38,27
Romania,34,36
Finland,34,28
Belgium,34,31
Philippines,33,32
Greece,32,26
Turkey,32,16
Russia,31,0
Venezuela,28,26
Israel,27,0
Ukraine,27,0
Germany,25,25
Egypt,23,0
Poland,16,20
Vietnam,19,0
Malaysia,16,19
Japan,17,0
Indonesia,15,7
Saudi Arabia,15,0
