Category: All categories

Country,Charlie Chaplin: (2015),Will Smith: (2015)
Dominican Republic,0,100
Puerto Rico,0,85
South Africa,13,85
United States,14,80
Canada,17,74
United Kingdom,17,67
Costa Rica,0,64
Colombia,41,61
Kenya,0,59
Australia,15,59
New Zealand,0,52
Ireland,16,52
Mexico,24,52
Venezuela,16,52
Morocco,52,29
Spain,22,51
Guatemala,0,48
Norway,23,47
Nigeria,0,47
Chile,30,46
Denmark,25,46
Italy,23,46
Sweden,20,45
Iran,44,0
Tunisia,43,0
Croatia,0,43
Ecuador,33,43
Pakistan,42,16
Peru,27,42
France,32,42
Hungary,15,42
United Arab Emirates,24,42
Argentina,28,39
Brazil,39,38
Belgium,20,38
Switzerland,31,37
Romania,20,34
Iraq,33,0
Austria,22,33
Germany,16,32
Netherlands,13,31
Philippines,17,31
Singapore,0,30
Bulgaria,30,24
Bolivia,21,29
India,27,15
Portugal,27,27
Slovakia,0,27
Czech Republic,17,24
Kazakhstan,24,0
Finland,17,22
Algeria,20,22
Serbia,0,22
Greece,21,22
Poland,10,21
Malaysia,10,21
Egypt,17,21
Turkey,17,19
Russia,17,3
Israel,14,16
Indonesia,8,16
Saudi Arabia,12,15
Ukraine,14,0
Japan,12,1
Vietnam,8,5
Thailand,0,5
