Category: All categories

Country,Charlie Chaplin: (2014),Benedict Cumberbatch: (2014)
United Kingdom,23,100
Ireland,23,70
Morocco,67,0
Uruguay,66,0
New Zealand,0,60
Canada,22,59
Brazil,57,9
Singapore,0,55
United States,18,54
France,52,17
Australia,19,51
Colombia,50,0
Iran,50,0
Ecuador,46,0
Norway,38,44
Bulgaria,43,0
Philippines,18,42
Czech Republic,0,42
Switzerland,42,22
Hong Kong,0,42
Argentina,42,12
Chile,38,15
Portugal,36,21
Sweden,25,36
Finland,27,36
India,35,15
Mexico,35,12
Iraq,34,0
Pakistan,34,0
Hungary,19,33
Germany,22,33
Denmark,26,33
Peru,32,0
Spain,31,18
Italy,31,14
Belgium,31,21
Bolivia,30,0
United Arab Emirates,29,0
Austria,27,28
Malaysia,15,28
Romania,25,14
Poland,11,25
Greece,25,19
Turkey,23,12
Venezuela,21,0
Netherlands,15,20
Taiwan,0,19
South Korea,0,19
Russia,19,5
South Africa,16,18
Egypt,16,0
Ukraine,16,0
Japan,13,2
Saudi Arabia,13,0
Vietnam,12,0
Indonesia,10,12
Thailand,0,7
