Category: All categories

Country,Charlie Chaplin: (2015),Jim Parsons: (2015)
Morocco,100,0
Iran,85,0
Tunisia,83,0
Pakistan,82,0
Colombia,79,0
Brazil,75,6
Ecuador,64,0
Iraq,64,0
France,62,9
Switzerland,60,0
Chile,58,0
Bulgaria,57,0
Argentina,54,8
India,53,6
Portugal,53,0
Peru,52,0
Denmark,48,0
United Arab Emirates,47,0
Mexico,47,8
Kazakhstan,46,0
Italy,45,12
Norway,45,0
Austria,43,0
Spain,42,13
Greece,41,0
Bolivia,40,0
Romania,40,0
Sweden,39,0
Algeria,39,0
Belgium,39,0
Russia,34,0
Turkey,34,0
Czech Republic,34,0
United Kingdom,33,22
Philippines,33,0
Egypt,33,0
Finland,33,0
Canada,32,24
Ireland,32,0
Venezuela,31,0
Germany,30,17
Hungary,29,0
Australia,28,22
Israel,28,0
Ukraine,27,0
United States,27,20
South Africa,24,23
Netherlands,24,9
Japan,23,0
Saudi Arabia,22,0
Malaysia,19,0
Poland,18,0
Vietnam,16,0
Indonesia,15,0
