Category: All categories

Country,Charlie Chaplin: (5/1/13 - 12/31/13),Charlie Hunnam: (5/1/13 - 12/31/13)
Canada,27,100
Morocco,90,0
United States,24,88
Philippines,28,88
Ireland,0,77
Norway,0,76
Spain,30,75
Brazil,74,20
Australia,25,72
United Kingdom,29,71
Sweden,28,68
Colombia,61,22
Denmark,0,59
New Zealand,0,56
Iran,56,0
Chile,53,51
South Africa,0,51
Argentina,50,32
France,49,21
Switzerland,49,0
Venezuela,0,44
Portugal,44,34
Peru,42,0
Mexico,42,41
Pakistan,40,0
Hungary,0,39
India,38,0
Austria,31,37
Italy,34,28
Greece,0,32
Poland,16,31
Belgium,30,25
Romania,29,0
Netherlands,20,28
Turkey,28,6
Germany,22,28
Russia,27,0
Ukraine,22,0
Vietnam,20,0
Japan,14,0
Indonesia,13,0
