Category: All categories

Country,Charlie Chaplin: (2014),Eva Green: (2014)
Singapore,0,100
Morocco,98,0
Philippines,28,95
Brazil,81,22
France,74,78
Greece,35,71
Pakistan,49,70
Iran,69,0
Switzerland,67,50
Hong Kong,0,67
Colombia,64,18
Hungary,27,61
Bulgaria,60,0
Mexico,48,58
India,48,57
Czech Republic,0,57
Canada,32,56
Ecuador,56,0
Argentina,55,41
Portugal,54,40
Malaysia,21,54
Italy,44,54
South Korea,0,53
Ireland,32,53
United Kingdom,31,53
Spain,43,51
New Zealand,0,51
Chile,50,38
Iraq,48,0
Norway,48,0
Australia,25,47
Croatia,0,46
United States,25,46
Belgium,37,45
Austria,44,44
Bolivia,44,40
Peru,42,29
Serbia,0,42
United Arab Emirates,38,39
Taiwan,0,38
Indonesia,14,38
Finland,38,31
Turkey,32,37
Romania,37,31
Germany,31,36
Sweden,35,34
Netherlands,20,34
Denmark,34,31
South Africa,23,32
Egypt,22,32
Venezuela,31,18
Poland,14,31
Thailand,0,30
Israel,0,27
Russia,26,7
Ukraine,24,0
Japan,18,0
Saudi Arabia,16,0
Vietnam,15,15
