Category: All categories

Country,Charlie Chaplin: (2015),Tom Hardy: (2015)
United Kingdom,15,100
Ireland,15,93
Hungary,11,50
Croatia,0,48
New Zealand,0,46
Canada,14,43
Morocco,43,0
Australia,11,43
Uruguay,41,0
Pakistan,36,12
Iran,35,10
Sweden,18,34
United States,12,34
Serbia,0,34
Colombia,33,8
Brazil,32,10
Norway,23,31
Czech Republic,15,29
Slovakia,0,28
Iraq,28,0
Ecuador,27,0
France,26,20
Bulgaria,26,19
Greece,15,26
Switzerland,25,18
Argentina,25,18
Denmark,23,25
United Arab Emirates,25,20
Portugal,25,19
India,24,8
Chile,24,17
Peru,23,0
South Africa,10,22
Romania,18,22
Finland,16,22
Mexico,21,17
Italy,21,11
Singapore,0,20
Bolivia,18,0
Spain,18,18
Austria,18,18
Algeria,18,0
Belgium,17,16
Poland,8,17
Philippines,14,16
Germany,13,16
Netherlands,11,15
Turkey,15,10
Russia,14,2
Venezuela,13,0
Egypt,13,9
Malaysia,8,12
Ukraine,11,0
Israel,11,0
South Korea,0,11
Japan,10,0
Saudi Arabia,9,0
Vietnam,7,0
Indonesia,7,7
Taiwan,0,6
Thailand,0,4
