Category: All categories

Country,Charlie Chaplin: (2015),Matt Damon: (2015)
Morocco,100,0
Uruguay,96,0
Pakistan,83,0
Iran,82,0
Colombia,76,16
Brazil,75,16
Ireland,34,70
Canada,33,66
Australia,26,66
New Zealand,0,65
Iraq,65,0
United States,27,62
Ecuador,62,0
France,60,40
Bulgaria,59,0
Switzerland,58,33
Argentina,58,43
United Arab Emirates,58,0
Portugal,58,35
India,56,14
Chile,56,34
Norway,54,54
Denmark,53,44
Peru,52,23
Hungary,25,52
United Kingdom,34,51
Sweden,42,51
Mexico,50,25
Italy,48,34
Singapore,0,47
Bolivia,43,0
Spain,42,41
Algeria,42,0
Romania,42,0
Austria,41,34
Belgium,39,33
Finland,37,37
Greece,36,25
Czech Republic,36,0
Turkey,34,18
Philippines,31,33
Russia,32,0
Venezuela,31,0
Germany,31,29
Egypt,29,0
Netherlands,26,29
South Africa,23,26
Ukraine,26,0
Israel,25,0
Japan,22,0
Malaysia,18,22
Saudi Arabia,22,0
Poland,18,21
Vietnam,16,0
Indonesia,16,11
