Category: All categories

Country,Charlie Chaplin: (2016),Jennifer Lawrence: (2016)
Costa Rica,0,100
Ireland,18,94
Canada,15,88
United Kingdom,15,86
Philippines,17,82
United States,13,82
New Zealand,0,82
Mexico,23,80
Australia,14,80
Singapore,0,71
Norway,0,70
Hungary,14,69
Austria,17,69
Puerto Rico,0,68
Sweden,22,68
Denmark,17,66
Chile,26,65
Germany,14,64
Guatemala,0,64
Spain,21,58
Switzerland,57,58
Portugal,25,56
Bolivia,0,54
Czech Republic,0,53
Croatia,0,52
Belgium,19,50
Italy,23,49
Uruguay,47,49
Argentina,26,49
Slovenia,0,48
Finland,19,47
Slovakia,0,47
Ecuador,27,47
United Arab Emirates,25,47
South Africa,12,46
Hong Kong,0,46
Morocco,46,21
France,32,46
Netherlands,13,45
Malaysia,10,44
Colombia,35,43
Venezuela,15,42
Peru,27,42
Tunisia,41,0
Pakistan,40,35
Greece,20,39
Bangladesh,39,38
Iraq,36,0
Iran,35,19
Kazakhstan,34,0
Dominican Republic,0,34
India,32,27
Poland,10,31
South Korea,0,31
Serbia,23,30
Brazil,30,26
Indonesia,7,29
Turkey,15,28
Romania,19,28
Bulgaria,27,24
Egypt,15,26
Israel,14,24
Algeria,20,22
Saudi Arabia,11,16
Russia,15,4
Thailand,0,15
Ukraine,13,0
Taiwan,0,12
Japan,12,2
Vietnam,7,10
