Category: All categories

Country,Charlie Chaplin: (3/1/14 - 12/31/14),Jennifer Lawrence: (3/1/14 - 12/31/14)
Philippines,3,100
Canada,4,92
New Zealand,0,87
United States,4,87
Puerto Rico,0,86
Australia,4,84
Ireland,5,80
Singapore,0,75
United Kingdom,5,75
Costa Rica,0,71
Mexico,7,71
Norway,8,63
Sweden,5,57
Guatemala,0,53
Chile,8,50
Switzerland,9,50
Portugal,7,49
Denmark,6,48
Austria,5,47
Hong Kong,0,46
Germany,4,45
Spain,6,44
Belgium,6,43
Uruguay,0,42
Hungary,0,41
Ecuador,9,41
France,11,41
United Arab Emirates,0,40
Malaysia,3,40
Peru,6,38
Argentina,9,37
Netherlands,3,36
South Africa,0,36
Croatia,0,35
Italy,6,35
Bangladesh,0,34
Finland,5,34
Colombia,10,34
Venezuela,4,34
Dominican Republic,0,33
South Korea,0,33
Israel,0,30
Czech Republic,0,28
Greece,5,28
Brazil,12,28
Pakistan,7,27
Bolivia,6,27
Poland,2,25
Indonesia,2,25
Turkey,5,24
Slovakia,0,24
Romania,5,19
Serbia,0,18
India,7,18
Egypt,0,18
Morocco,13,15
Taiwan,0,14
Iran,10,12
Saudi Arabia,0,12
Thailand,0,11
Vietnam,2,10
Bulgaria,9,0
Russia,4,4
Ukraine,3,0
Japan,3,3
