Category: All categories

Country,Charlie Chaplin: (2013),Lea Michele: (2013)
Philippines,33,100
Morocco,100,0
Canada,32,90
Brazil,86,35
Ireland,39,81
Singapore,0,79
United States,27,75
Argentina,58,73
Australia,26,72
Colombia,68,40
Iran,66,0
New Zealand,0,66
Chile,56,66
Portugal,54,65
Mexico,44,60
France,58,46
Ecuador,57,53
Switzerland,52,25
Peru,50,41
United Kingdom,31,48
India,44,4
Pakistan,43,0
Italy,43,35
Venezuela,28,43
Greece,32,43
Serbia,42,0
Bulgaria,41,0
Austria,38,0
Norway,0,38
South Africa,0,37
Spain,35,29
Malaysia,16,35
Finland,34,26
Sweden,32,34
Romania,34,0
Belgium,34,32
Denmark,32,27
Turkey,32,7
Russia,31,0
Netherlands,21,29
Hungary,28,0
Israel,27,0
Ukraine,27,0
Germany,25,17
Indonesia,15,23
Egypt,23,0
Vietnam,19,0
Japan,17,3
Poland,16,14
Saudi Arabia,15,0
