Category: All categories

Country,Charlie Chaplin: (2013),Sylvester Stallone: (2013)
Morocco,100,0
Bulgaria,45,93
Kazakhstan,0,89
Ukraine,23,88
Belarus,0,87
Hungary,25,85
Brazil,81,43
Austria,33,75
Russia,31,74
Italy,39,73
Slovakia,0,71
Serbia,40,69
Germany,25,68
Greece,35,68
Czech Republic,0,67
Colombia,66,40
United States,26,64
Canada,30,63
Switzerland,50,63
Iran,63,0
Norway,0,62
Argentina,56,61
Romania,31,60
Ecuador,52,59
Chile,57,45
United Kingdom,30,56
Croatia,0,56
Denmark,32,55
France,55,53
Ireland,35,55
Portugal,55,46
Sweden,32,53
Poland,17,53
Finland,31,51
Mexico,45,50
Belgium,30,50
South Africa,0,49
Spain,34,48
Israel,28,48
Australia,26,46
United Arab Emirates,41,45
Venezuela,30,44
Philippines,34,44
India,43,31
Peru,42,40
Netherlands,20,42
Pakistan,41,36
New Zealand,0,38
Singapore,0,36
Egypt,0,33
Turkey,30,30
Malaysia,15,29
Saudi Arabia,0,22
Vietnam,20,0
Japan,17,0
Indonesia,13,14
Thailand,0,9
