Category: All categories

Country,Charlie Chaplin: (2014),Matthew McConaughey: (2014)
Ireland,25,100
Canada,24,98
United States,20,98
Morocco,74,0
Uruguay,72,0
Australia,21,71
Hungary,21,67
United Kingdom,26,66
Croatia,0,65
Brazil,63,17
New Zealand,0,60
Sweden,28,59
Denmark,29,58
Italy,34,57
Norway,42,57
France,57,35
Colombia,55,21
Iran,55,0
Ecuador,50,0
Bulgaria,47,0
Switzerland,46,37
Argentina,46,33
Spain,34,46
Portugal,40,44
Chile,42,35
Austria,30,39
India,38,13
Mexico,38,30
Hong Kong,0,38
Iraq,38,0
Singapore,0,37
Greece,27,37
Pakistan,37,0
Serbia,0,36
Peru,35,19
Belgium,34,35
Finland,29,33
Bolivia,32,0
United Arab Emirates,32,30
Netherlands,16,31
South Africa,18,30
Czech Republic,0,30
Germany,24,28
Romania,28,27
Poland,12,26
Turkey,26,12
Venezuela,23,21
Philippines,20,22
Russia,20,0
Egypt,18,0
Ukraine,17,0
Malaysia,16,14
Japan,14,0
Saudi Arabia,14,0
Vietnam,13,0
Indonesia,11,4
