Category: All categories

Country,Charlie Chaplin: (2013),Robert Downey Jr.: (2013)
Morocco,100,0
Belarus,0,85
Kazakhstan,0,83
Brazil,81,28
Singapore,0,80
Russia,31,80
Mexico,45,72
Philippines,34,70
Hungary,25,67
United States,26,67
Colombia,66,34
Ireland,35,65
Iran,63,0
Ukraine,23,62
Taiwan,0,62
Canada,30,58
United Kingdom,30,57
Chile,57,54
Hong Kong,0,57
Argentina,56,36
France,55,35
Portugal,55,0
Australia,26,55
Ecuador,52,47
Switzerland,50,29
Czech Republic,0,49
Italy,39,48
New Zealand,0,45
Bulgaria,45,0
India,43,40
Peru,42,32
United Arab Emirates,41,0
Pakistan,41,29
Serbia,40,0
Malaysia,15,40
Denmark,32,40
Sweden,32,36
Greece,35,32
Norway,0,35
Spain,34,23
Austria,33,33
Finland,31,32
Romania,31,29
Belgium,30,23
Turkey,30,22
Venezuela,30,24
Israel,28,0
Poland,17,28
South Korea,0,28
Germany,25,26
Indonesia,13,24
Vietnam,20,0
Netherlands,20,20
Japan,17,11
Thailand,0,13
