Category: All categories

Country,Charlie Chaplin: (2016),Daniel Radcliffe: (2016)
Switzerland,100,26
Philippines,29,91
Morocco,78,0
Uruguay,74,0
Tunisia,72,0
Pakistan,71,35
Colombia,63,22
Iran,61,0
Bangladesh,59,0
Kazakhstan,59,0
France,54,33
Iraq,53,0
India,53,22
Brazil,52,20
United Kingdom,26,51
Peru,50,18
Argentina,47,24
Chile,47,28
United Arab Emirates,47,0
Ecuador,46,0
Portugal,46,27
Bulgaria,45,0
Australia,23,43
Ireland,29,43
Mexico,41,31
New Zealand,0,40
Norway,0,40
Serbia,38,0
Italy,38,33
Spain,37,25
Sweden,36,32
Greece,35,0
Algeria,35,0
Canada,25,35
Denmark,29,34
Singapore,0,34
Czech Republic,0,33
United States,22,33
Romania,32,17
Austria,31,29
Belgium,31,31
Finland,30,26
Hungary,0,30
Turkey,27,15
Russia,27,0
Egypt,26,16
Malaysia,17,25
Venezuela,24,20
Israel,24,0
South Africa,22,23
Germany,23,22
Ukraine,22,0
Poland,16,22
Saudi Arabia,21,0
Netherlands,21,20
Japan,20,0
Indonesia,14,16
Vietnam,12,7
Thailand,0,7
