Category: All categories

Country,Charlie Chaplin: (2015),Hugh Jackman: (2015)
Australia,23,100
Morocco,86,0
Uruguay,82,0
Pakistan,71,22
Iran,70,0
Colombia,65,18
Brazil,64,16
Iraq,56,0
Ecuador,54,0
France,51,31
Bulgaria,51,0
Switzerland,50,25
Argentina,50,28
United Arab Emirates,50,0
Portugal,49,0
India,49,24
Chile,48,30
Norway,47,0
Denmark,45,45
Peru,45,17
Mexico,43,35
Italy,41,22
United Kingdom,29,40
Hungary,22,38
New Zealand,0,38
Spain,36,38
Canada,29,37
Bolivia,37,0
Ireland,30,37
Algeria,36,0
Romania,36,20
Sweden,36,26
Austria,35,25
Belgium,34,21
Singapore,0,34
Philippines,27,34
United States,23,33
Finland,32,0
Czech Republic,31,31
Greece,31,20
Turkey,30,28
Russia,28,0
Venezuela,27,19
Germany,26,21
Malaysia,16,26
Egypt,25,0
Ukraine,22,0
Netherlands,22,16
South Africa,20,22
Israel,22,0
Japan,19,0
Saudi Arabia,19,0
Poland,15,15
Vietnam,14,0
Indonesia,14,11
Thailand,0,7
