Category: All categories

Country,Charlie Chaplin: (2013),Harrison Ford: (2013)
Morocco,100,0
Brazil,85,8
Colombia,71,0
Iran,67,0
Ecuador,62,0
Chile,60,18
France,58,25
Argentina,57,17
Portugal,53,0
Switzerland,52,26
Bulgaria,49,0
Mexico,46,13
India,45,4
Peru,44,0
Italy,43,21
Ireland,38,41
Pakistan,39,0
United Kingdom,31,39
United States,27,38
Spain,36,34
Sweden,36,30
Austria,35,34
Canada,32,35
Romania,34,0
Philippines,33,0
Russia,32,0
Belgium,32,18
Greece,32,0
Australia,26,32
Venezuela,32,0
Turkey,31,5
Denmark,31,26
Hungary,29,30
Israel,29,0
Finland,28,0
Germany,26,27
Ukraine,25,0
Egypt,23,0
Vietnam,21,0
Netherlands,20,12
Poland,19,13
Japan,18,0
Malaysia,17,0
Indonesia,15,0
