Category: All categories

Country,Charlie Chaplin: (2015),Robert De Niro: (2015)
Morocco,100,0
Uruguay,96,0
Pakistan,83,0
Iran,82,0
Colombia,76,19
Brazil,75,14
Serbia,0,67
Iraq,65,0
Hungary,25,64
Ecuador,62,0
France,60,26
Bulgaria,59,0
Switzerland,58,31
Argentina,58,45
United Arab Emirates,58,0
Portugal,58,0
India,56,9
Chile,56,33
Norway,54,0
Denmark,53,33
Peru,52,0
Mexico,50,35
Italy,48,46
Ireland,34,47
Bolivia,43,0
Spain,42,40
Algeria,42,0
Romania,42,40
Sweden,42,35
Austria,41,35
Belgium,39,29
United States,27,38
United Kingdom,34,37
Finland,37,0
Canada,33,37
Greece,36,32
Czech Republic,36,0
Turkey,34,20
Australia,26,34
Russia,32,0
Philippines,31,18
Venezuela,31,0
Germany,31,29
Egypt,29,0
Ukraine,26,0
Netherlands,26,23
Israel,25,0
South Africa,23,24
Poland,18,22
Japan,22,0
Saudi Arabia,22,0
Malaysia,18,0
Vietnam,16,0
Indonesia,16,0
