Category: All categories

Country,Charlie Chaplin: (2014),Bill Murray: (2014)
Morocco,100,0
Brazil,83,5
France,76,12
Iran,70,0
Switzerland,68,0
Colombia,65,0
Bulgaria,61,0
United States,26,60
Ecuador,57,0
Argentina,56,11
Canada,32,56
Portugal,55,0
Chile,51,0
Pakistan,50,0
Mexico,49,9
India,49,0
Iraq,48,0
Norway,48,0
Ireland,33,47
Austria,45,0
Italy,45,11
Bolivia,44,0
Spain,44,13
Peru,43,0
Finland,38,0
United Arab Emirates,38,0
Belgium,38,0
Romania,38,0
Sweden,35,17
Greece,35,0
Denmark,34,0
United Kingdom,32,33
Turkey,33,0
Venezuela,32,0
Germany,32,12
Australia,25,31
Philippines,29,0
Hungary,27,0
Russia,26,0
Ukraine,24,0
South Africa,23,0
Egypt,23,0
Malaysia,22,0
Netherlands,20,10
Japan,19,0
Saudi Arabia,17,0
Vietnam,16,0
Poland,14,9
Indonesia,14,0
