Category: All categories

Country,Charlie Chaplin: (2014),Jason Statham: (2014)
Moldova,0,100
Romania,17,64
Bosnia & Herzegovina,0,61
Hungary,11,57
Turkey,14,54
Azerbaijan,0,53
Serbia,0,47
Morocco,40,29
Greece,15,37
Brazil,36,11
France,32,27
Colombia,31,10
Croatia,0,30
Philippines,11,29
Austria,19,29
Switzerland,29,29
United Kingdom,14,29
Poland,6,29
Iran,29,0
Slovakia,0,28
Bulgaria,28,28
Pakistan,21,28
Belgium,18,28
Algeria,0,27
Spain,19,27
Germany,13,26
Ecuador,26,0
New Zealand,0,25
Chile,25,16
United Arab Emirates,19,24
Argentina,24,15
Portugal,23,24
Sweden,15,24
Norway,22,24
Vietnam,7,23
Netherlands,8,22
Iraq,22,0
South Africa,10,22
Canada,14,21
Australia,11,21
Mexico,21,17
India,20,9
Denmark,16,19
Peru,19,11
Ireland,13,19
Finland,17,19
Italy,19,17
Czech Republic,0,17
Bolivia,17,0
Egypt,9,15
United States,11,15
Venezuela,14,8
Malaysia,9,13
Israel,12,12
Indonesia,6,11
Russia,11,0
Saudi Arabia,7,11
Ukraine,10,0
Japan,8,0
Thailand,0,4
