Category: All categories

Country,Charlie Chaplin: (2016),Julia Roberts: (2016)
Switzerland,100,48
Uruguay,83,0
Morocco,81,0
Tunisia,72,0
Hungary,24,71
Pakistan,70,17
Bangladesh,68,0
France,57,64
Iraq,63,0
Iran,62,0
Colombia,62,23
Kazakhstan,60,0
Ireland,31,60
Sweden,39,58
Canada,26,58
India,56,15
Denmark,30,54
Italy,40,54
Croatia,0,54
Brazil,52,20
Australia,24,51
United States,22,49
Spain,37,49
Belgium,34,49
Peru,48,18
Ecuador,48,0
Bulgaria,47,0
Chile,46,43
United Kingdom,27,46
Argentina,46,45
Slovakia,0,45
United Arab Emirates,44,38
Portugal,43,37
Greece,35,42
South Africa,22,42
Norway,0,41
Mexico,41,39
Serbia,40,36
Austria,30,39
Romania,34,38
New Zealand,0,36
Czech Republic,0,36
Poland,17,35
Algeria,34,0
Finland,33,0
Germany,24,32
Philippines,29,28
Netherlands,22,29
Venezuela,27,23
Russia,27,0
Turkey,27,19
Egypt,26,16
Israel,24,0
Ukraine,22,0
Japan,20,0
Saudi Arabia,20,0
Malaysia,18,15
Indonesia,13,7
Vietnam,12,0
