Category: All categories

Country,Charlie Chaplin: (2016),Dwayne Johnson: (2016)
Switzerland,100,44
Hungary,0,84
New Zealand,0,83
Canada,28,81
Morocco,80,0
Pakistan,78,34
Tunisia,72,0
United States,24,71
South Africa,23,69
Iran,64,0
Colombia,64,26
Australia,24,63
Bangladesh,62,0
Kazakhstan,61,0
United Kingdom,28,61
Ireland,32,60
Iraq,59,0
France,59,36
India,58,30
Brazil,58,17
Croatia,0,58
Peru,53,19
Chile,52,34
Bulgaria,52,0
Austria,34,51
Slovakia,0,51
Singapore,0,50
Czech Republic,0,50
Norway,0,49
Argentina,48,24
United Arab Emirates,48,44
Ecuador,46,0
Mexico,45,25
Serbia,39,45
Portugal,45,37
Italy,42,22
Sweden,42,40
Germany,25,40
Greece,40,28
Spain,40,29
Philippines,32,39
Romania,37,39
Belgium,39,35
Malaysia,21,36
Finland,36,32
Algeria,35,0
Netherlands,23,34
Denmark,34,32
Poland,18,31
Turkey,29,24
Egypt,28,0
Russia,28,0
Ukraine,26,0
Venezuela,25,24
Israel,23,0
Japan,22,0
Saudi Arabia,22,0
Indonesia,14,20
Vietnam,13,9
Thailand,7,0
