Category: All categories

Country,Charlie Chaplin: (2013),Natalie Portman: (2013)
Morocco,100,0
Brazil,85,24
Colombia,71,42
France,58,69
Chile,60,67
Iran,67,0
Ecuador,62,45
United Kingdom,31,62
United States,27,62
Canada,32,60
Philippines,33,59
Australia,26,58
Singapore,0,58
Argentina,57,45
Sweden,36,57
New Zealand,0,55
Mexico,46,55
Ireland,38,54
Portugal,53,32
Hong Kong,0,52
Switzerland,52,49
Bulgaria,49,0
Hungary,29,49
Austria,35,48
India,45,20
Norway,0,45
Peru,44,31
Denmark,31,44
Italy,43,38
Germany,26,42
Belgium,32,40
Pakistan,39,0
Czech Republic,0,37
Spain,36,35
Poland,19,35
Greece,32,34
Romania,34,23
Finland,28,32
Russia,32,0
Malaysia,17,32
Venezuela,32,29
Turkey,31,31
Israel,29,0
Netherlands,20,27
Ukraine,25,0
Egypt,23,0
Vietnam,21,0
Japan,18,0
Indonesia,15,18
Thailand,0,9
