Category: All categories

Country,Charlie Chaplin: (2015),Mila Kunis: (2015)
Ireland,29,100
Canada,28,98
Austria,34,98
United Kingdom,29,95
New Zealand,0,89
Australia,22,88
Morocco,84,0
United States,23,83
Norway,46,83
Hungary,21,82
Uruguay,81,0
Czech Republic,30,78
Germany,26,77
Switzerland,49,76
Philippines,26,74
Pakistan,70,33
Sweden,35,70
Iran,69,17
Slovakia,0,67
Colombia,64,37
Brazil,63,25
Croatia,0,60
Denmark,45,59
Mexico,42,58
Poland,15,58
Chile,47,58
Serbia,0,57
Netherlands,22,56
Singapore,0,55
Iraq,55,0
Portugal,49,54
South Africa,20,54
Bulgaria,50,54
Belgium,33,54
Ecuador,53,38
Finland,32,52
France,50,48
Argentina,49,44
United Arab Emirates,49,48
India,48,26
Spain,36,46
Greece,30,46
Romania,35,45
Peru,44,37
Italy,41,40
Malaysia,15,39
Bolivia,36,32
Algeria,35,0
Israel,21,32
Venezuela,26,31
Turkey,29,24
Russia,27,0
Egypt,25,20
Indonesia,14,23
Ukraine,22,0
Japan,19,0
Saudi Arabia,18,17
Vietnam,14,0
