Category: All categories

Country,Charlie Chaplin: (2014),Vin Diesel: (2014)
South Africa,17,100
Dominican Republic,0,85
Morocco,74,0
Brazil,61,25
France,56,25
Iran,52,0
Switzerland,51,27
Venezuela,23,49
Colombia,48,35
United States,19,47
Mexico,36,46
Chile,38,46
Bulgaria,45,39
Romania,28,44
Ecuador,42,40
Argentina,42,40
Portugal,41,32
Philippines,21,40
United Kingdom,24,40
Croatia,0,39
Canada,24,38
Pakistan,37,38
New Zealand,0,37
Norway,36,37
Serbia,0,37
India,36,18
Iraq,36,0
Hungary,20,36
Czech Republic,0,35
Austria,33,29
Australia,19,33
Italy,33,28
Bolivia,33,26
Spain,33,31
Peru,32,29
Sweden,26,29
United Arab Emirates,28,29
Poland,10,29
Finland,28,23
Belgium,28,27
Germany,23,27
Denmark,25,26
Ireland,24,26
Greece,26,22
Netherlands,15,26
Turkey,24,19
Egypt,17,22
Indonesia,10,20
Russia,19,0
Malaysia,16,19
Ukraine,18,0
Japan,14,0
Saudi Arabia,12,0
Vietnam,12,9
Thailand,0,7
