Category: All categories

Country,Charlie Chaplin: (2014),Chris Evans: (2014)
Morocco,100,0
Philippines,29,93
Brazil,83,25
United Kingdom,32,77
France,76,22
Iran,70,0
Switzerland,68,0
Colombia,65,21
Bulgaria,61,0
Ecuador,57,0
Argentina,56,22
Singapore,0,56
Portugal,55,0
Chile,51,23
Pakistan,50,0
Mexico,49,41
India,49,10
Iraq,48,0
Norway,48,0
Canada,32,45
Austria,45,0
Italy,45,18
United States,26,45
Bolivia,44,0
Spain,44,22
Malaysia,22,44
Peru,43,0
Australia,25,43
Finland,38,0
United Arab Emirates,38,0
Belgium,38,0
Romania,38,0
Ireland,33,37
Sweden,35,19
Greece,35,0
Denmark,34,0
Turkey,33,10
Venezuela,32,23
Germany,32,14
Hungary,27,26
Russia,26,0
Ukraine,24,0
South Africa,23,24
Egypt,23,0
Indonesia,14,22
Netherlands,20,14
Japan,19,0
Saudi Arabia,17,0
Vietnam,16,9
Poland,14,10
Thailand,0,13
