Category: All categories

Country,Charlie Chaplin: (2015),Emilia Clarke: (2015)
Morocco,100,0
Philippines,33,92
Norway,45,89
Singapore,0,86
Ireland,32,86
Iran,85,20
United Kingdom,33,85
Tunisia,83,0
Pakistan,82,37
Australia,28,82
New Zealand,0,80
Colombia,79,26
Brazil,75,25
Canada,32,72
Sweden,39,68
Hungary,29,68
France,62,66
Denmark,48,65
Ecuador,64,0
Iraq,64,0
Malaysia,19,63
Switzerland,60,46
Chile,58,55
Austria,43,57
Bulgaria,57,0
Czech Republic,34,56
Spain,42,56
Portugal,53,55
United States,27,55
Argentina,54,42
Belgium,39,54
Germany,30,54
India,53,35
Peru,52,32
Finland,33,50
United Arab Emirates,47,46
South Africa,24,47
Mexico,47,46
Hong Kong,0,46
Kazakhstan,46,0
Netherlands,24,46
Italy,45,32
Greece,41,42
Serbia,0,41
Bolivia,40,0
Romania,40,33
Algeria,39,0
South Korea,0,39
Turkey,34,38
Poland,18,36
Russia,34,7
Egypt,33,0
Venezuela,31,29
Israel,28,28
Ukraine,27,0
Indonesia,15,26
Japan,23,0
Saudi Arabia,22,0
Taiwan,0,20
Vietnam,16,9
Thailand,0,16
