Category: All categories

Country,Charlie Chaplin: (2013),Matthew McConaughey: (2013)
Morocco,100,0
Brazil,81,7
Colombia,66,0
Iran,63,0
Chile,57,0
Argentina,56,11
France,55,10
Portugal,55,0
Ecuador,52,0
Switzerland,50,0
Mexico,45,11
Bulgaria,45,0
United States,26,44
India,43,0
Peru,42,0
United Arab Emirates,41,0
Pakistan,41,0
Serbia,40,0
Canada,30,39
Italy,39,16
Greece,35,0
Ireland,35,0
Philippines,34,0
Spain,34,13
Austria,33,0
Sweden,32,16
Denmark,32,0
Romania,31,0
Finland,31,0
Russia,31,0
Belgium,30,0
Turkey,30,0
United Kingdom,30,20
Venezuela,30,0
Israel,28,0
Australia,26,21
Hungary,25,0
Germany,25,10
Ukraine,23,0
Vietnam,20,0
Netherlands,20,14
Poland,17,11
Japan,17,0
Malaysia,15,0
Indonesia,13,0
