Category: All categories

Country,Charlie Chaplin: (2013),Brad Pitt: (2013)
Uruguay,0,100
Hungary,21,88
Dominican Republic,0,87
Philippines,24,85
Spain,26,84
Canada,23,83
Australia,19,82
Argentina,43,82
Croatia,0,82
Sweden,24,81
Italy,32,81
Chile,42,78
United States,20,76
Portugal,40,74
Morocco,74,53
Norway,0,74
Singapore,0,74
Tunisia,0,73
Slovenia,0,73
Switzerland,38,70
France,43,70
Ireland,29,69
Austria,28,67
United Kingdom,23,65
Costa Rica,0,65
Greece,24,65
Brazil,64,41
Turkey,23,63
Mexico,33,62
Serbia,31,62
Denmark,23,61
Romania,25,61
New Zealand,0,58
Belgium,25,55
Ecuador,42,54
Germany,19,53
South Africa,0,52
Peru,37,52
Colombia,51,52
United Arab Emirates,0,51
Czech Republic,0,51
Algeria,0,51
Iran,49,25
Netherlands,15,49
Slovakia,0,47
Bulgaria,31,46
Hong Kong,0,44
Venezuela,21,43
Pakistan,32,43
Malaysia,12,41
Poland,12,39
Finland,25,36
India,32,35
Israel,20,25
Indonesia,11,24
Russia,23,5
Egypt,17,21
Ukraine,20,0
Vietnam,14,17
Japan,13,3
Saudi Arabia,11,12
Thailand,0,10
