Category: All categories

Country,Charlie Chaplin: (2014),Emma Watson: (2014)
Philippines,12,100
Singapore,0,92
New Zealand,0,86
United Kingdom,13,83
Australia,10,81
Uruguay,0,78
Mexico,20,77
Sri Lanka,0,76
Canada,13,75
Norway,20,74
Costa Rica,0,73
Guatemala,0,68
Ireland,13,67
Chile,21,66
El Salvador,0,65
Pakistan,20,63
Sweden,14,62
Denmark,14,61
Hong Kong,0,60
Puerto Rico,0,60
Belgium,15,57
United States,10,57
Malaysia,9,56
Argentina,23,52
France,31,52
Bolivia,18,52
Hungary,11,52
Switzerland,28,52
Bangladesh,0,51
Czech Republic,0,50
Austria,18,50
Germany,13,49
India,20,48
Slovenia,0,48
Italy,18,46
Peru,18,46
Ecuador,23,46
United Arab Emirates,16,44
Finland,16,42
Netherlands,8,42
Colombia,26,41
Poland,6,41
Morocco,41,13
Slovakia,0,39
Venezuela,13,39
Spain,18,39
South Africa,9,38
Portugal,23,38
Croatia,0,38
Brazil,34,27
Serbia,0,32
Greece,14,30
Iran,28,20
Indonesia,6,26
Bulgaria,25,26
Thailand,0,25
Turkey,13,24
South Korea,0,24
Egypt,9,20
Iraq,20,0
Taiwan,0,19
Israel,0,19
Romania,15,17
Saudi Arabia,7,15
Vietnam,6,12
Russia,11,5
Ukraine,10,0
Japan,8,3
