Category: All categories

Country,Charlie Chaplin: (2013),Emma Stone: (2013)
Philippines,28,100
Morocco,82,0
New Zealand,0,73
Canada,25,68
Australia,21,67
Brazil,66,16
Singapore,0,65
United States,21,65
Ireland,29,56
United Kingdom,24,56
Colombia,54,16
Iran,51,0
Chile,46,30
Argentina,46,26
France,45,21
Portugal,45,27
Sweden,27,44
Ecuador,43,0
Norway,0,41
Switzerland,41,30
Mexico,37,39
Malaysia,12,39
South Africa,0,37
Bulgaria,37,0
Hungary,21,35
India,35,19
Peru,35,19
United Arab Emirates,33,34
Denmark,26,34
Austria,27,33
Pakistan,33,30
Germany,20,33
Serbia,33,0
Italy,32,25
Greece,29,30
Finland,25,28
Indonesia,11,28
Spain,28,22
Romania,25,23
Belgium,25,25
Russia,25,0
Turkey,25,16
Netherlands,16,24
Venezuela,24,24
Israel,23,0
Poland,14,19
Ukraine,19,0
Taiwan,0,19
Vietnam,17,0
Japan,14,0
Thailand,0,9
