Category: All categories

Country,Charlie Chaplin: (2014),Andrew Garfield: (2014)
Philippines,17,100
Morocco,61,0
Singapore,0,61
Uruguay,60,0
Brazil,52,11
France,47,11
Colombia,46,7
Iran,46,0
Ecuador,42,0
Bulgaria,39,0
Switzerland,38,0
Argentina,38,11
Chile,35,15
Norway,35,0
Malaysia,14,33
Portugal,33,0
India,32,10
Mexico,32,25
Iraq,31,0
Pakistan,31,14
Peru,29,15
Spain,29,9
Italy,28,10
Belgium,28,0
Canada,20,28
Bolivia,27,0
United Arab Emirates,27,0
Australia,17,26
United States,16,25
United Kingdom,21,25
Austria,25,0
Finland,24,0
Denmark,24,0
Indonesia,9,23
Sweden,23,11
Romania,23,0
Greece,23,0
Ireland,21,22
Turkey,21,7
Germany,20,8
Venezuela,19,12
Hungary,17,0
Russia,17,0
Egypt,15,0
South Africa,15,13
Ukraine,15,0
Netherlands,14,7
Japan,12,0
Saudi Arabia,11,0
Vietnam,11,0
Poland,10,5
Thailand,0,7
