Category: All categories

Country,Charlie Chaplin: (2014),Theo James: (2014)
Morocco,100,0
Philippines,27,90
Brazil,89,18
New Zealand,0,81
France,79,36
Colombia,77,20
Iran,72,0
Switzerland,72,28
Bulgaria,70,0
Singapore,0,66
Australia,28,65
Ecuador,65,0
United States,27,62
Chile,62,43
Argentina,61,24
Portugal,58,38
Iraq,55,0
Canada,34,55
Norway,54,0
Pakistan,51,0
Mexico,51,34
India,51,5
Peru,48,0
Italy,48,16
Spain,47,24
United Arab Emirates,47,0
Austria,46,0
Belgium,45,33
Hungary,28,45
Finland,44,0
Bolivia,43,0
Romania,42,22
Ireland,34,40
Denmark,39,30
Sweden,37,28
Greece,36,0
Turkey,36,15
United Kingdom,35,36
Venezuela,35,20
Germany,34,16
Indonesia,15,33
Israel,29,0
South Africa,24,29
Russia,28,0
Malaysia,22,28
Ukraine,26,0
Egypt,22,0
Japan,21,0
Netherlands,20,19
Saudi Arabia,19,0
Vietnam,17,0
Poland,16,14
Thailand,0,9
