Category: All categories

Country,Charlie Chaplin: (2013),Tom Cruise: (2013)
Ireland,25,100
Philippines,22,88
United States,18,80
Pakistan,28,79
Sweden,21,78
Australia,17,78
Canada,21,77
New Zealand,0,71
United Kingdom,20,70
Hungary,19,66
Morocco,66,42
Chile,37,65
Norway,0,64
Singapore,0,64
Denmark,21,59
United Arab Emirates,0,58
Tunisia,0,56
Brazil,56,32
Portugal,36,55
Italy,28,52
Argentina,38,51
Spain,23,51
South Africa,0,50
India,29,49
Austria,25,49
Mexico,29,47
Switzerland,34,46
Colombia,45,32
Iran,44,0
France,38,43
Netherlands,14,42
Belgium,22,41
Serbia,28,40
Romania,22,40
Germany,17,39
Hong Kong,0,39
Finland,23,38
Ecuador,38,37
Croatia,0,37
Algeria,0,37
Malaysia,11,37
Czech Republic,0,36
Turkey,21,36
Peru,33,32
Indonesia,10,32
Greece,21,32
Venezuela,18,31
Poland,11,31
Bulgaria,27,30
Egypt,15,24
Russia,21,0
Vietnam,13,20
Israel,18,19
Ukraine,17,0
Saudi Arabia,10,16
Taiwan,0,13
Japan,11,2
Thailand,0,11
