Category: All categories

Country,Charlie Chaplin: (2013),Common: (2013)
United States,2,100
Philippines,3,91
Kenya,0,71
Canada,3,65
Nigeria,0,64
Australia,2,61
United Kingdom,3,58
New Zealand,0,56
Singapore,0,52
South Africa,0,47
Ireland,3,42
Hong Kong,0,35
India,4,31
United Arab Emirates,0,29
Bangladesh,0,29
Pakistan,3,28
Malaysia,1,22
South Korea,0,15
China,0,14
Norway,0,13
Sweden,3,11
Finland,2,9
Denmark,3,9
Morocco,9,0
Taiwan,0,9
Switzerland,4,9
Netherlands,2,8
Israel,3,8
Saudi Arabia,0,8
Greece,3,8
Belgium,3,8
Brazil,7,2
Austria,3,7
Egypt,2,7
Indonesia,1,7
Romania,3,7
Germany,2,6
Colombia,6,4
Iran,6,0
Poland,2,6
Thailand,0,5
Ecuador,5,0
Chile,5,0
France,5,4
Argentina,5,3
Portugal,5,0
Italy,4,5
Spain,3,5
Mexico,4,4
Bulgaria,4,0
Peru,4,0
Russia,3,4
Vietnam,2,3
Japan,2,3
Venezuela,3,0
Turkey,3,2
Hungary,3,0
Ukraine,2,0
