Category: All categories

Country,Charlie Chaplin: (2015),Charlize Theron: (2015)
Italy,44,100
Morocco,98,0
South Africa,24,94
Iran,83,24
Tunisia,81,0
Pakistan,81,22
Colombia,77,26
Brazil,74,19
Ecuador,63,0
Iraq,63,0
France,60,57
Switzerland,58,46
Chile,56,34
Canada,31,56
Bulgaria,56,0
Argentina,53,33
India,52,14
Portugal,52,44
Hungary,28,51
Peru,51,0
Spain,41,50
Croatia,0,50
United States,26,48
Denmark,47,35
New Zealand,0,47
Australia,28,46
Ireland,31,46
United Arab Emirates,46,0
Mexico,46,35
Kazakhstan,45,0
Austria,42,44
Norway,44,42
United Kingdom,32,42
Belgium,38,42
Greece,40,36
Bolivia,40,0
Romania,39,36
Sweden,39,36
Algeria,38,0
Czech Republic,33,33
Russia,33,0
Turkey,33,23
Malaysia,19,32
Philippines,32,30
Egypt,32,0
Finland,32,0
Singapore,0,32
Netherlands,24,30
Venezuela,30,21
Germany,30,30
Poland,18,28
Israel,27,0
Ukraine,26,0
Japan,23,0
Saudi Arabia,22,0
Vietnam,16,0
Indonesia,15,14
