Category: All categories

Country,Charlie Chaplin: (2016),Michael Fassbender: (2016)
Switzerland,100,0
Morocco,78,0
Uruguay,74,0
Ireland,29,72
Tunisia,72,0
Pakistan,71,0
Colombia,63,12
Iran,61,0
Bangladesh,59,0
Kazakhstan,59,0
France,54,18
Iraq,53,0
India,53,5
Brazil,52,10
Norway,0,52
Sweden,36,51
Peru,50,0
Argentina,47,18
Chile,47,23
United Arab Emirates,47,0
Ecuador,46,0
Portugal,46,0
Bulgaria,45,0
Mexico,41,20
Serbia,38,0
Italy,38,23
Spain,37,29
Greece,35,0
Algeria,35,0
United Kingdom,26,35
Romania,32,0
Austria,31,25
Belgium,31,0
Finland,30,0
Philippines,29,20
Denmark,29,29
Australia,23,29
Turkey,27,6
Canada,25,27
Russia,27,0
Egypt,26,0
Venezuela,24,0
Israel,24,0
Germany,23,22
Ukraine,22,0
South Africa,22,0
United States,22,20
Saudi Arabia,21,0
Netherlands,21,11
Japan,20,0
Malaysia,17,14
Poland,16,12
Indonesia,14,6
Vietnam,12,0
