Category: All categories

Country,Charlie Chaplin: (2015),Jon Hamm: (2015)
Morocco,100,0
Iran,85,0
Tunisia,83,0
Pakistan,82,0
Colombia,79,0
Brazil,75,3
Ecuador,64,0
Iraq,64,0
France,62,3
Switzerland,60,0
Chile,58,0
Bulgaria,57,0
Argentina,54,0
India,53,0
Portugal,53,0
Peru,52,0
Denmark,48,0
United Arab Emirates,47,0
Mexico,47,6
Kazakhstan,46,0
Italy,45,0
Norway,45,0
Austria,43,0
Spain,42,6
Greece,41,0
Bolivia,40,0
Romania,40,0
Sweden,39,0
Algeria,39,0
Belgium,39,0
Russia,34,0
Turkey,34,0
Czech Republic,34,0
United Kingdom,33,10
Philippines,33,0
Egypt,33,0
Finland,33,0
Canada,32,21
Ireland,32,0
Venezuela,31,0
Germany,30,4
Hungary,29,0
Australia,28,14
Israel,28,0
Ukraine,27,0
United States,27,24
South Africa,24,0
Netherlands,24,0
Japan,23,0
Saudi Arabia,22,0
Malaysia,19,0
Poland,18,0
Vietnam,16,0
Indonesia,15,0
