Category: All categories

Country,Charlie Chaplin: (2013),Miranda Cosgrove: (2013)
Morocco,100,0
Mexico,45,98
Brazil,81,40
Colombia,66,31
Iran,63,0
Chile,57,28
Argentina,56,23
France,55,3
Portugal,55,0
Ecuador,52,50
Switzerland,50,0
Bulgaria,45,0
India,43,0
Peru,42,33
United Arab Emirates,41,0
Pakistan,41,0
Venezuela,30,40
Serbia,40,0
Italy,39,6
Greece,35,0
Ireland,35,0
Philippines,34,32
Spain,34,8
United States,26,33
Austria,33,23
Sweden,32,0
Denmark,32,0
Romania,31,0
Finland,31,0
Russia,31,0
Canada,30,23
Belgium,30,25
Turkey,30,4
United Kingdom,30,18
Israel,28,0
Netherlands,20,27
Australia,26,18
Hungary,25,0
Germany,25,19
Ukraine,23,0
Vietnam,20,0
Poland,17,14
Japan,17,0
Malaysia,15,16
Indonesia,13,0
