Category: All categories

Country,Charlie Chaplin: (2014),Meryl Streep: (2014)
Morocco,100,0
Uruguay,98,0
Brazil,85,14
France,77,28
Colombia,75,15
Iran,74,0
Ecuador,68,0
Bulgaria,64,0
Switzerland,63,28
Argentina,62,34
Chile,57,26
Norway,57,0
Portugal,54,35
India,52,9
Mexico,52,26
Iraq,51,0
Pakistan,50,0
Peru,48,0
Canada,33,47
Spain,47,26
Italy,46,31
Belgium,46,21
Hungary,28,44
Bolivia,44,0
Ireland,34,44
United Arab Emirates,43,0
United States,27,41
Austria,41,0
Denmark,39,40
Finland,40,0
Sweden,38,32
Romania,37,24
Australia,28,37
Greece,37,26
Turkey,35,8
United Kingdom,35,29
Germany,33,19
Poland,16,31
Venezuela,31,20
Russia,28,0
Philippines,27,21
South Africa,24,25
Egypt,24,0
Ukraine,24,0
Malaysia,22,0
Netherlands,22,21
Japan,19,0
Saudi Arabia,19,0
Vietnam,17,0
Indonesia,14,0
