Category: All categories

Country,Charlie Chaplin: (2013),50 Cent: (2013)
Angola,0,100
Tanzania,0,68
Kazakhstan,0,31
Kenya,0,26
Nigeria,0,25
Tunisia,0,25
Algeria,0,24
South Africa,0,24
Dominican Republic,0,24
Azerbaijan,0,23
Bulgaria,7,22
Romania,6,19
United States,5,18
Morocco,17,18
United Kingdom,5,17
Brazil,14,16
Canada,5,15
Australia,4,14
New Zealand,0,13
Iraq,0,13
Denmark,5,12
Serbia,7,12
Norway,0,12
Germany,4,12
Ecuador,10,12
Ireland,6,12
Mexico,7,12
Colombia,11,9
Hungary,5,11
Iran,11,0
Turkey,5,11
Sweden,5,10
Switzerland,9,10
Austria,6,10
Argentina,10,8
France,10,9
Slovakia,0,10
United Arab Emirates,0,9
Chile,9,8
Netherlands,3,9
Portugal,9,8
Israel,4,9
Belgium,6,9
Peru,8,8
Russia,5,8
Croatia,0,8
Italy,7,8
Ukraine,4,8
Poland,3,7
India,7,3
Pakistan,7,6
Greece,5,7
Czech Republic,0,7
Spain,6,5
Finland,6,5
Philippines,6,4
Egypt,4,5
Venezuela,5,5
Malaysia,3,4
Saudi Arabia,3,4
Vietnam,3,0
Japan,3,0
Indonesia,3,2
Thailand,0,1
